"id","name","pos","length","function_name","table_name","field_name"
"__export__.onpoint_seba_spec_196_5dd6ad23","block1_length","0","1","read_data","logger_headers","length"
"__export__.onpoint_seba_spec_197_f4c132a4","block1_code","1","1","read_data","logger_headers","code"
"__export__.onpoint_seba_spec_198_031752bc","block1_status_register","2","1","read_data","logger_headers","status_register"
"__export__.onpoint_seba_spec_199_3cb00382","block1_logger_id","3","3","read_data","logger_headers","logger_id"
"__export__.onpoint_seba_spec_200_5bbadd3c","block1_config_packet_number","6","1","read_data","logger_headers","config_packet_number"
"__export__.onpoint_seba_spec_201_7278259c","block1_interval","7","3","read_data","logger_headers","interval"
"__export__.onpoint_seba_spec_202_c0c6a6a8","block1_start_time","10","4","read_data","logger_headers","start_time"
"__export__.onpoint_seba_spec_203_1ae83c3e","block1_meas_total_pages","14","2","read_data","logger_headers","meas_total_pages"
"__export__.onpoint_seba_spec_204_042be0e7","block1_meas_data_used","16","3","read_data","logger_headers","meas_data_used"
"__export__.onpoint_seba_spec_205_72422257","block1_temp","19","1","read_data","logger_headers","temperature"
"__export__.onpoint_seba_spec_206_3c0198f4","block1_batt_voltage","20","2","read_data","logger_headers","battery_voltage"
"__export__.onpoint_seba_spec_207_f279c08e","block1_timezone","22","2","read_data","logger_headers","timezone"
"__export__.onpoint_seba_spec_208_21847da7","block1_sw_version","24","2","read_data","logger_headers","sw_version"
"__export__.onpoint_seba_spec_209_40f2e31a","block1_usage_counter","26","4","read_data","logger_headers","usage_counter"
"__export__.onpoint_seba_spec_210_b1c69d22","block1_current_logger_time","30","4","read_data","logger_headers","current_logger_time"
"__export__.onpoint_seba_spec_211_98567d0b","block1_ch1_set_flags","34","4","read_data","logger_channels","flag"
"__export__.onpoint_seba_spec_212_bc4a70bd","block1_ch1_set_water_counter","38","4","read_data","logger_channels","water_counter"
"__export__.onpoint_seba_spec_213_23119222","block1_ch1_set_min_real","42","4","read_data","logger_channels","min_real"
"__export__.onpoint_seba_spec_214_c63845ce","block1_ch1_set_max_real","46","4","read_data","logger_channels","max_real"
"__export__.onpoint_seba_spec_215_7f8cad3d","block1_ch1_set_sensor_id","50","2","read_data","logger_channels","sensor_id"
"__export__.onpoint_seba_spec_216_6baa090f","block1_ch1_set_min_input","52","2","read_data","logger_channels","min_input"
"__export__.onpoint_seba_spec_217_148b19a0","block1_ch1_set_max_input","54","2","read_data","logger_channels","max_input"
"__export__.onpoint_seba_spec_218_e93fb5d1","block1_ch1_set_unit_id","56","2","read_data","logger_channels","unit_id"
"__export__.onpoint_seba_spec_219_e4068052","block1_ch1_set_user_text","58","5","read_data","logger_channels","unit_id_text"
"__export__.onpoint_seba_spec_220_aaf42b89","block1_ch1_set_press_treshold","63","2","read_data","logger_channels","press_treshold"
"__export__.onpoint_seba_spec_221_6c829411","block1_ch1_set_corr_start_volt","65","2","read_data","logger_channels","corr_start_voltage"
"__export__.onpoint_seba_spec_222_bc5a2f03","block1_ch1_set_corr_end_volt","67","2","read_data","logger_channels","corr_end_voltage"
"__export__.onpoint_seba_spec_223_dc3f3d6a","block1_ch1_set_corr_start_current","69","2","read_data","logger_channels","corr_start_current"
"__export__.onpoint_seba_spec_224_30fb534b","block1_ch1_set_corr_end_current","71","2","read_data","logger_channels","corr_end_current"
"__export__.onpoint_seba_spec_225_57fec7e5","block1_ch1_set_reserved","73","8","read_data","logger_channels","reserved"
"__export__.onpoint_seba_spec_226_df1d9c12","block1_ch2_set_flags","81","4","read_data","logger_channels","flag"
"__export__.onpoint_seba_spec_227_5ff7f409","block1_ch2_set_water_counter","85","4","read_data","logger_channels","water_counter"
"__export__.onpoint_seba_spec_228_06ed3869","block1_ch2_set_min_real","89","4","read_data","logger_channels","min_real"
"__export__.onpoint_seba_spec_229_5513c9d6","block1_ch2_set_max_real","93","4","read_data","logger_channels","max_real"
