id,code,name,coa_type_id,parent_id/id,transactional
__export__.pam_coa_2625_7797dea1,11110000,Kas dan Setara Kas,Aset Lancar,,FALSE
__export__.pam_coa_2626_97d4b160,11111000,Kas,Aset Lancar,__export__.pam_coa_2625_7797dea1,FALSE
__export__.pam_coa_2627_9ace001f,11111110,Kas,Aset Lancar,__export__.pam_coa_2626_97d4b160,TRUE
__export__.pam_coa_2628_32700ccf,11111120,Kas di Tangan,Aset Lancar,__export__.pam_coa_2626_97d4b160,TRUE
__export__.pam_coa_2629_dc96a7d8,11112000,Bank,Aset Lancar,__export__.pam_coa_2625_7797dea1,FALSE
__export__.pam_coa_2630_8b92cee2,11112110,Rekening Giro BJB,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2631_72883a15,11112120,Rekening Giro BNI,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2632_90c08041,11112130,Rekening Giro CIMB Niaga,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2633_2025dc71,11112140,Rekening Giro Bank Syari'ah Mandiri,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2634_c22c595c,11112150,Rekening Giro BCA,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2635_11ef3836,11112160,Rekening Giro Duta,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2636_950b102e,11112170,Rekening Giro BDN/Mandiri,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2637_5b2108fd,11112180,Rekening Giro BTN,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2638_1ebbbbef,11112190,Rekening Giro Bank OCBC NISP,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2639_fa5c24d7,11112210,Rekening Giro BTPN,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2640_43d4b312,11112220,Rekening Bank PANIN,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2641_cb441c23,11112230,Rekening Giro Bukopin,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2642_937a60a8,11112240,Rekening Giro Bank Pasar,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2643_0cd3db7b,11112250,Rekening Giro BRI,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2644_953a0396,11112260,BPRS Al-Salaam,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2645_3ad5322e,11112270,BPD Syariah,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2646_60f2c73f,11112280,Rekening Giro PT.Pos Indonesia,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2647_87c83b3e,11112290,Rekening Giro BNI 46/ PB,Aset Lancar,__export__.pam_coa_2629_dc96a7d8,TRUE
__export__.pam_coa_2648_35d196e0,11113000,Kas Kecil,Aset Lancar,__export__.pam_coa_2625_7797dea1,FALSE
__export__.pam_coa_2649_c872d42c,11113110,Kas Kecil,Aset Lancar,__export__.pam_coa_2648_35d196e0,TRUE
__export__.pam_coa_2650_fb3c912a,11114000,Beda Kas,Aset Lancar,__export__.pam_coa_2625_7797dea1,FALSE
__export__.pam_coa_2651_c7564c01,11114110,Beda Kas,Aset Lancar,__export__.pam_coa_2650_fb3c912a,TRUE
__export__.pam_coa_2652_2ef1cdae,11121000,Deposito,Aset Lancar,__export__.pam_coa_2625_7797dea1,FALSE
__export__.pam_coa_2653_3a4f8b15,11121110,Deposito BPD,Aset Lancar,__export__.pam_coa_2652_2ef1cdae,TRUE
__export__.pam_coa_2654_9dd83f47,11121120,Deposito BNI,Aset Lancar,__export__.pam_coa_2652_2ef1cdae,TRUE
